place_id,name,city,query_category,source_query,primary_type,address,latitude,longitude,rating,user_rating_count,price_level,google_maps_uri,is_food,is_tourist_spot
ChIJ0fNH81yxbTkRi56uF-amqgo,Nahargarh Fort,Jaipur,tourist_spot,best tourist attractions,castle,"Krishna Nagar, Brahampuri, Jaipur, Rajasthan 302001",26.9401659,75.8170373,4.5,78157,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=768610193590099595&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJuxSir0ixbTkRMU7RQ0c0GYI,Tal Katora Lake,Jaipur,tourist_spot,best tourist attractions,tourist_attraction,"388, Talkatora Rd, Rajhans Colony, Tripolia Bazar, Kanwar Nagar, Jaipur, Rajasthan 302002",26.9338978,75.8253257,4.1,1315,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=9374581580033510961&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJ2-vgqE2xbTkRS1ab-9TqZaM,Isarlat Sargasooli,Jaipur,tourist_spot,best tourist attractions,monument,"WRFC+Q8G, Aatish Market, Gangori Bazaar, J.D.A. Market, Kanwar Nagar, Jaipur, Rajasthan 302002",26.924445,75.82083659999999,4.5,7143,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=11774075001305257547&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJXyn5OrC2bTkRaGk8EzNDuwU,Albert Hall Museum,Jaipur,tourist_spot,best tourist attractions,museum,"Ram Niwas Garden, Ashok Nagar, Jaipur, Rajasthan 302004",26.9115849,75.81941200000001,4.5,72790,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=412997677479651688&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJrUMVGkyxbTkR-d0twdb5jzU,Chandra Mahal,Jaipur,tourist_spot,best tourist attractions,historical_landmark,"WRGF+RC2, Agra Rd, Gangori Bazaar, J.D.A. Market, Brahampuri, Jaipur, Rajasthan 302002",26.9270086,75.8235041,4.4,174,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=3859578106439130617&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJi_eVOgGxbTkR0LWShNdyly0,Kanak Vrindavan Park,Jaipur,tourist_spot,best tourist attractions,park,"XR7X+CFR, Amer Rd, Jal Mahal, Amer, Jaipur, Rajasthan 302002",26.9636218,75.84863410000001,4.3,5080,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=3285220723157808592&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJbyYR3BCxbTkRxIx7wBreDmo,Jaipur Pink City,Jaipur,tourist_spot,best tourist attractions,tourist_attraction,"Badi Chaupar, WRF9+WC6, Badi Choupad, J.D.A. Market, Kanwar Nagar, Jaipur, Rajasthan 302001",26.9247923,75.8185061,4.3,30,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=7642289824174148804&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJ94NTG7WxbTkRcBL55cQFS98,Panna Meena ka Kund,Jaipur,tourist_spot,popular places to visit,historical_place,"XVR2+FGV, Amer, Rajasthan 302028",26.991230899999998,75.8512851,4.4,6370,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=16089960436941263472&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJlUU0la22bTkRYjOPfx2lY9E,Jaipur Zoo,Jaipur,tourist_spot,popular places to visit,zoo,"Museum Rd, Ram Niwas Garden, Kailash Puri, Bagh, Jaipur, Rajasthan 302004",26.912309699999998,75.8211759,3.6,11128,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=15088084722734019426&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJV9GWIae2bTkR3tu5UFSOwk0,Central Park,Jaipur,tourist_spot,popular places to visit,park,"Prithviraj Rd, Rambagh, Jaipur, Rajasthan 302007",26.9049037,75.8087219,4.6,24979,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=5603197379185073118&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJT7psBrC2bTkREdcNA0Ipcp4,Ramniwas Bagh,Jaipur,tourist_spot,popular places to visit,park,"Jawahar Lal Nehru Marg, near albert hall, Ram Niwas Garden, Adarsh Nagar, Jaipur, Rajasthan 302003",26.9150353,75.8179325,4.4,6338,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=11417233368833447697&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJq5wk2R-3bTkRLw-MpqvXGMg,Vidyadhar Bagh,Jaipur,tourist_spot,popular places to visit,park,"VVX3+WC9, Ghat Ki Guni, Jaipur, Rajasthan 302003",26.8997912,75.853619,4.3,1064,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=14418511339260219183&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJ67xPmiGwbTkROPWfDp9m0rQ,Nahargarh Biological Park,Jaipur,tourist_spot,popular places to visit,zoo,"NH 8, Kukas, Sisiyawas, Rajasthan 302028",27.0160575,75.8644631,4.3,12350,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=13029589505267463480&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJxUfgi0GxbTkR5Vqeib76O00,Gaitor Ki Chhatriyan,Jaipur,tourist_spot,popular places to visit,tourist_attraction,"309B, Mangala Rd, Bada Akhada, Krishna Nagar, Brahampuri, Jaipur, Rajasthan 302002",26.9430691,75.8246528,4.6,6157,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=5565317460805966565&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
