place_id,name,city,query_category,source_query,primary_type,address,latitude,longitude,rating,user_rating_count,price_level,google_maps_uri,is_food,is_tourist_spot
ChIJ2-vgqE2xbTkRS1ab-9TqZaM,Isarlat Sargasooli,Jaipur,tourist_spot,best tourist attractions,monument,"WRFC+Q8G, Aatish Market, Gangori Bazaar, J.D.A. Market, Kanwar Nagar, Jaipur, Rajasthan 302002",26.924445,75.82083659999999,4.5,7143,,https://maps.google.com/?cid=11774075001305257547&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJT7psBrC2bTkREdcNA0Ipcp4,Ramniwas Bagh,Jaipur,tourist_spot,best tourist attractions,park,"Jawahar Lal Nehru Marg, near albert hall, Ram Niwas Garden, Adarsh Nagar, Jaipur, Rajasthan 302003",26.9150353,75.8179325,4.4,6337,,https://maps.google.com/?cid=11417233368833447697&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJDYsOV0mxbTkRgv-VoX2oB1o,Maharaja Sawai Man Singh II Museum,Jaipur,tourist_spot,best tourist attractions,museum,"The City Palace, 221, Tripolia Bazar Road, Gangori Bazaar, J.D.A. Market, Kanwar Nagar, Gangori Bazaar, J.D.A. Market, Brahampuri, Jaipur, Rajasthan 302002",26.9264111,75.8233599,4.5,332,,https://maps.google.com/?cid=6487339045785829250&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJseuwKkmxbTkRBW83y7v7Hto,Jai Niwas Garden,Jaipur,tourist_spot,best tourist attractions,garden,"B-91, Rajamal Ka Talab Rd, Gangori Bazaar, J.D.A. Market, Kanwar Nagar, Jaipur, Rajasthan 302002",26.93,75.8247222,4.4,26447,,https://maps.google.com/?cid=15717276533556473605&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJq5wk2R-3bTkRLw-MpqvXGMg,Vidyadhar Bagh,Jaipur,tourist_spot,best tourist attractions,park,"VVX3+WC9, Ghat Ki Guni, Jaipur, Rajasthan 302003",26.8997912,75.853619,4.3,1064,,https://maps.google.com/?cid=14418511339260219183&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJCSKP80yxbTkRAKT8rQW0iOw,Tripolia Gate,Jaipur,tourist_spot,best tourist attractions,historical_landmark,"Tripolia Bazar, Badi Choupad, J.D.A. Market, Pink City, Jaipur, Rajasthan 302002",26.924049699999998,75.82275159999999,4.4,6794,,https://maps.google.com/?cid=17044070726270493696&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJ94NTG7WxbTkRcBL55cQFS98,Panna Meena ka Kund,Jaipur,tourist_spot,historical places,historical_place,"XVR2+FGV, Amer, Rajasthan 302028",26.991230899999998,75.8512851,4.4,6361,,https://maps.google.com/?cid=16089960436941263472&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJxUfgi0GxbTkR5Vqeib76O00,Gaitor Ki Chhatriyan,Jaipur,tourist_spot,historical places,tourist_attraction,"309B, Mangala Rd, Bada Akhada, Krishna Nagar, Brahampuri, Jaipur, Rajasthan 302002",26.9430691,75.8246528,4.6,6156,,https://maps.google.com/?cid=5565317460805966565&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJI0QOpK22bTkRh97plqjaGLQ,Ajmeri Gate,Jaipur,tourist_spot,historical places,historical_place,"99, Nehru Bazar Rd, Jayanti Market, Modikhana, Jaipur, Rajasthan 302003",26.917647,75.81665679999999,4.4,15042,,https://maps.google.com/?cid=12977362743889354375&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
ChIJlUU0la22bTkRYjOPfx2lY9E,Jaipur Zoo,Jaipur,tourist_spot,historical places,zoo,"Museum Rd, Ram Niwas Garden, Kailash Puri, Bagh, Jaipur, Rajasthan 302004",26.912309699999998,75.8211759,3.6,11127,,https://maps.google.com/?cid=15088084722734019426&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,False,True
