city,weather_risk_level,primary_weather_risk,lookahead_hours,rain_risk_level,heat_risk_level,wind_risk_level,air_quality_risk_level,uv_risk_level,visibility_risk_level,rain_mm_next_window,max_rain_probability,max_apparent_temperature_c,max_wind_gust_kmph,max_us_aqi,max_pm25,max_pm10,max_uv_index,min_visibility_m,travel_advice,created_at
Jaipur,High,"Heavy rain (High), Heat (Medium), UV (Medium), Poor visibility (Medium)",12,High,Medium,Low,Low,Medium,Medium,1.8,100,39.0,26.3,73,30.3,173.7,7.9,3000,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Prefer morning and evening sightseeing; carry water and sun protection. Use basic sun protection for outdoor plans. Check visibility before long drives or viewpoints.",2026-07-06T16:43:35.811066+00:00
Mumbai,High,"Heavy rain (High), Wind/storm (High), Poor visibility (High)",12,High,Low,High,Low,Low,High,61.4,100,31.1,64.4,39,11.6,24.2,1.1,880,"Avoid outdoor sightseeing, beaches, seafront walks, low-lying roads and long road transfers. Avoid exposed viewpoints, boating, beaches and sea-facing walks. Visibility is poor; avoid long drives and viewpoints.",2026-07-06T16:43:37.036848+00:00
