place_id,place_name,city,news_count,incident_count,positive_count,news_risk_level,news_signal_score,latest_article_title,latest_article_url
ChIJw3rpD-HN5zsRGYkrTonj-Rk,Priyadarshini Park,Mumbai,0,0,0,Low,0,,
ChIJn3Q-5QnO5zsRmouUzzMGp5Q,Hanging Garden,Mumbai,0,0,0,Low,0,,
ChIJqSNr-8DR5zsRosXwmBExzRw,Leopold Cafe,Mumbai,0,0,0,Low,0,,
ChIJo49oV-rJ5zsRvNAzcQLkwO8,Prithvi Cafe,Mumbai,0,0,0,Low,0,,
ChIJVVVVZgC45zsRV4SB6sd1V2M,Lake View Cafe,Mumbai,0,0,0,Low,0,,
ChIJodA07jbO5zsRgLdBjaaZMGI,Veermata Jijabai Bhosale Botanical Udyan and Zoo,Mumbai,0,0,0,Low,0,,
ChIJI1VscN7R5zsRO3y8QF7i6PY,Fashion Street,Mumbai,0,0,0,Low,0,,
ChIJi1NRO2vJ5zsR_sA0_utO260,Candies,Mumbai,0,0,0,Low,0,,
ChIJoel9wFix5zsREK_IyV3zujI,Water Kingdom by EsselWorld,Mumbai,0,0,0,Low,0,,
ChIJ7ZgINYzO5zsRqQBKogByTGY,The Bombay Canteen,Mumbai,0,0,0,Low,0,,
ChIJq8BfSdvR5zsRZn_7hsntjJc,Horniman Circle Garden,Mumbai,0,0,0,Low,0,,
ChIJf3bw-efI5zsRtdR6zgH_FnQ,Yauatcha Mumbai,Mumbai,0,0,0,Low,0,,
ChIJbdF34ea55zsRX7kiabN6Z_U,Kanheri Caves,Mumbai,0,0,0,Low,0,,
ChIJ0QJWGMrJ5zsRfd6CXWJi-zg,Linking Road Market,Mumbai,0,0,0,Low,0,,
ChIJRzKMjYzJ5zsRc3HMaVsahhM,Trèsind Mumbai,Mumbai,0,0,0,Low,0,,
ChIJe2U4L-zI5zsRa6ovuoq6yM0,Masala Library by Jiggs Kalra,Mumbai,0,0,0,Low,0,,
ChIJxY2uoefR5zsRXJcn_xo_D0c,Mockingbird Cafe Bar,Mumbai,0,0,0,Low,0,,
ChIJwxDY1OzO5zsRC72eDjher0s,KOKO,Mumbai,0,0,0,Low,0,,
ChIJyVc4m77J5zsRgVEr40Ec-Wk,Earth Cafe @ Waterfield,Mumbai,0,0,0,Low,0,,
ChIJp7S2irjJ5zsRa_Cvqax8Lkk,Anand Stall,Mumbai,0,0,0,Low,0,,
ChIJr3COQlvO5zsRBS4MFGze73k,Dr. Bhau Daji Lad Museum,Mumbai,0,0,0,Low,0,,
ChIJWW0D19K35zsRswjd106KPiw,NATRAJ MARKET,Mumbai,0,0,0,Low,0,,
ChIJuSeZCsPR5zsRI0vnqPEX-JM,Kala Ghoda Cafe,Mumbai,0,0,0,Low,0,,
ChIJq4F0iz3O5zsRjUYQu5bbhGs,Gol Deval Temple,Mumbai,0,0,0,Low,0,,
ChIJpVFbDOjJ5zsRgAIwHsoWq88,Tanatan Juhu - Kitchen & Bar,Mumbai,0,0,0,Low,0,,
ChIJvaysoFTP5zsRrfA8pHD55vo,Kamala Nehru Park,Mumbai,0,0,0,Low,0,,
ChIJKWEwB0y25zsRN9gUAePSPaI,Vasu’s Laxmi Balaji Fast Food,Mumbai,0,0,0,Low,0,,
ChIJL1Hh4EbI5zsRqpWnAny2Ud0,Peshwa Pavilion,Mumbai,0,0,0,Low,0,,
