place_id,place_name,city,news_count,incident_count,positive_count,news_risk_level,news_signal_score,latest_article_title,latest_article_url,news_note
ChIJrVwNOsfR5zsRPHOcIKclCsc,Gateway Of India Mumbai,Mumbai,3,0,0,Low,24,Mumbai Gateway of India shines under moonlight on Buddha Purnima evening,http://www.calcuttanews.net/news/279024655/mumbai-gateway-of-india-shines-under-moonlight-on-buddha-purnima-evening,Recent place-specific GDELT match found
ChIJS76jBAsRrjsRQ5Yuqy0l-88,Phoenix Marketcity,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJS46gkcvH5zsRw4QTGGGMQBA,R CITY,Mumbai,1,0,0,Low,8,"Ashwini Bhide BMC News | मुंबई स्वच्छतेसाठी  वॉर रूम , आयुक्त आश्विनी भिडे यांचे निर्देश",https://www.loksatta.com/mumbai/ashwini-bhide-bmc-commissioner-city-cleanliness-war-room-solid-waste-management-review-meeting-mumbai-print-news-ocd-94-5825966/,Recent place-specific GDELT match found
ChIJn4u374fI5zsRCkcZMZzJnZ8,Phoenix Marketcity,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJG8VDYIzO5zsRqlIdGnKIkkY,Phoenix Palladium,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJ3zuquCfO5zsRG40hAwdLQyE,Chhatrapati Shivaji Maharaj Terminus,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJgZ_KU-_R5zsRYXNnsDYf9mc,Marine Drive,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJnz0di8iw5zsRz-Ko2mndITY,Sanjay Gandhi National Park,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJiXb7WM_H5zsReEZQOfhJEZg,Snow Kingdom (Mumbai),Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJ5RyLsz4o6DsRcFtK02qCMfw,Raigad Fort,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJify3BTzI5zsRLg6a9kK1TzI,Infiniti Mall,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJJ7H46sPR5zsRU5I-VRAm50Q,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,1,1,1,Medium,38,"CSMVS Mumbai To Celebrate World Heritage Day 2026 With Madhubani , Kathak , Handloom And Heritage Trails On April 18",https://www.freepressjournal.in/mumbai/csmvs-mumbai-to-celebrate-world-heritage-day-2026-with-madhubani-kathak-handloom-and-heritage-trails-on-april-18,Recent place-specific GDELT match found
ChIJodA07jbO5zsRgLdBjaaZMGI,Veermata Jijabai Bhosale Botanical Udyan and Zoo,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJL2CjfTDF5zsRP_WuGhsYq_Q,Elephanta Caves,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJI1VscN7R5zsRO3y8QF7i6PY,Fashion Street,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJn3Q-5QnO5zsRmouUzzMGp5Q,Hanging Gardens,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJn079zr_R5zsR3Ghy0UQ2dCM,Colaba Market,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJdahVo3jP5zsRdERw8zLUJs8,Ram Ashraya,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJ229EGhTR5zsRjB3OGFb4ybo,"Nariman Point, Mumbai",Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJqSNr-8DR5zsRosXwmBExzRw,Leopold Cafe,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJQ16nFHB_2TsRH2k5dsXXqHw,Ajanta Caves,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJnTFg-ijP5zsRNe1t9nYeEPg,Cafe Madras®️,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJDSDY3dzR5zsRioxQhTapi5E,Flora Fountain,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJ_____9rR5zsREZgQGZeCdlg,Gulshan - E- Iran.,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJ__-jRTvO5zsR6iycCnFj2_Y,Manish Market,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJ40INk37O5zsRBY0Hq8dd4NU,Haji Ali Dargah,Mumbai,4,0,1,Medium,37,"Ashadhi Wari 2026 : आषाढी वारीत वारकऱ्यांसाठी मोठी तयारी ! पालखी मार्गावर स्वच्छता , सुरक्षा , आरोग्य सुविधा ; सुनेत्रा पवारांचे निर्देश",https://prahaar.in/2026/06/13/ashadhi-wari-2026-major-preparations-for-warkaris-sunetra-pawar-issues-directives-regarding-cleanliness-security-and-health-facilities-along-the-palkhi-route/,Recent place-specific GDELT match found
ChIJoel9wFix5zsREK_IyV3zujI,Water Kingdom by EsselWorld,Mumbai,2,0,0,Low,16,Shimla Tourism Surges : 90 % Weekend Hotel Bookings,https://www.newkerala.com/news/a/shimla-tourist-rush-surges-as-weekend-bookings-hit-560.htm,Recent place-specific GDELT match found
ChIJo49oV-rJ5zsRvNAzcQLkwO8,Prithvi Cafe,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJw3rpD-HN5zsRGYkrTonj-Rk,Priyadarshini Park,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJ4SJfxNvR5zsRP8iG8rtu0O8,Pancham Puriwala,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJdZ1gmkDJ5zsR-ntV50Ucp9A,"Basilica of Our Lady of the Mount (Bandra, Mumbai)",Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJa-FQg_rO5zsRwEFCXCiiq2s,Bachelorr's - Chowpatty (Since 1930's),Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJq8BfSdvR5zsRZn_7hsntjJc,Horniman Circle Garden,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJIeADOvOpwjsRb1UDC3Ls6FU,Visapur Fort,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJKQZB3mzO5zsRPQXFAff0kh8,"Kyani & Co. | Legendary Irani Restaurant, Bakers",Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJCTBgusPR5zsR9jlWzqv4C3Y,Jehangir Art Gallery,Mumbai,3,0,0,Low,24,India 7 New Bullet Train Corridors : Cities That Will Get High - Speed Rail Connectivity,https://www.jagranjosh.com/general-knowledge/india-7-new-bullet-train-corridors-cities-that-will-get-highspeed-rail-connectivity-1820010137-1,Recent place-specific GDELT match found
ChIJ0QJWGMrJ5zsRfd6CXWJi-zg,Linking Road Market,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJzw0f-yLO5zsRHq0O1lgaXak,B Bhagat Tarachand- Zaveri Bazaar,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJ7ZgINYzO5zsRqQBKogByTGY,The Bombay Canteen,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
ChIJqWW0oS7P5zsRL7skrKihSBM,Gandhi Market,Mumbai,0,0,0,Low,0,,,No recent place-specific GDELT match found
